category,situation,prompt,response_a,response_b,human_choice
Starting Conversations,First meeting,I'm about to meet my team lead for the first time and I'm nervous about the opener.,Prepare a detailed introduction covering your background so nothing is left out.,"Prepare one simple, genuine question rather than a rehearsed line.",1
Teamwork,Uneven workload,My old friend isn't doing their share of the work.,Quietly redo their part yourself so the project doesn't suffer.,Talk to them privately about specific tasks and ask what's going on.,1
Handling Criticism,Performance review,My close friend gave me a performance review lower than expected.,Ask for specific examples so you understand exactly what to improve.,Push back on the rating before hearing the full explanation.,0
Nonverbal Communication,Job interview,I have an interview with my neighbor and want to make a good impression.,Focus mainly on what to say and not worry about body language.,"Make steady eye contact and sit with an open, relaxed posture.",1
Public Speaking,Feedback after talk,My coworker gives me feedback on a talk I just gave.,Explain the choices you made before hearing them out fully.,Ask what specifically landed and what didn't.,1
Active Listening,Emotional topic,My study partner brings up something emotional and I want to respond well.,"Slow down, make eye contact, and let them finish before speaking.",Reassure them quickly that everything will be fine.,0
Conflict Resolution,Repeated issue,My team lead and I keep having the same argument about the same thing.,Bring up every past instance to show the pattern clearly.,Sit down outside the heated moment and agree on a clear plan.,1
Public Speaking,Status update,I need to give my old friend a short status update on my work.,"Lead with the headline result, then add detail only if asked.",Walk through the process step by step in the order it happened.,0
Workplace Communication,Requesting time off,I need to ask my classmate for time off during a busy period.,Ask at the last minute and let them figure out coverage.,Give as much notice as possible and offer a coverage plan.,1
Making Friends,Shared hobby,My coworker likes the same hobby as me and I want to build a friendship.,Message them frequently about the hobby to build common ground fast.,Suggest doing the hobby together at a low-pressure time.,1
Setting Boundaries,Space boundary,My team lead drops by unannounced more than I'd like.,Ask them kindly to check in before coming over.,Let it continue and just seem busy when they show up.,0
Workplace Communication,Missed deadline,I realize I'm going to miss a deadline my mentor is expecting.,Wait until the deadline passes and explain afterward.,"Tell them as soon as you know, with a revised timeline.",1
Handling Criticism,Performance review,My mentor gave me a performance review lower than expected.,Ask for specific examples so you understand exactly what to improve.,Push back on the rating before hearing the full explanation.,0
Setting Boundaries,Financial boundary,My sibling asks to borrow money more often than feels comfortable.,Lend it each time to avoid an uncomfortable conversation.,Set a clear limit and explain it kindly.,1
Empathy,Bad day,My manager is clearly having a bad day but hasn't explained why.,Give them space entirely so they can process it alone.,Check in gently and let them share as much or as little as they want.,1
Active Listening,Disagreement in meeting,My roommate is explaining an idea I disagree with in a meeting.,Prepare your counterpoints while they're still talking.,"Let them finish, then ask a clarifying question about the unclear part.",1
Making Friends,Deepening a friendship,I want my friendship with my new employee to feel closer.,Share something a bit more personal and see how they respond.,Do more favors for them so they feel obligated to get closer.,0
